Calificación util,Calificación divertido,Recomendacion,Horas jugadas,Fecha de Reseña,Reseña
A 3 personas les pareció útil esta reseña,0,No recomendado,23.6 h registradas,Publicada el 9 de septiembre de 2024,"era bueno, iba bien encaminado y decidieron eliminar el servidor para Sudamérica, unos payasos."
A 3 personas les pareció útil esta reseña,0,Recomendado,35.5 h registradas,Publicada el 27 de julio de 2024,"Este juego es gooood, pero tiene un problema que es la optimización solo pido que lo optimizen más por favor 🥲"
A 3 personas les pareció útil esta reseña,0,Recomendado,44.5 h registradas,Publicada el 25 de julio de 2024,Solo le falta una traducción al español y sería el mejor.
A 2 personas les pareció útil esta reseña,0,Recomendado,2.0 h registradas,Publicada el 19 de julio de 2024,"Si bien le falta accesibilidad para Steam Deck, realmente es muy disfrutable y fluído."
A 3 personas les pareció útil esta reseña,0,No recomendado,124.2 h registradas,Publicada el 5 de noviembre de 2024,Pese a las muchas horas que le meti en este juego al principio no decilusiono pero despues de un par de updates el juego se fue les de las manos lo desbalanceado que era todo y razon principal que juntaron los servers de america y no me vengan a decir que unificaron simplemente eliminaron el de LATAM asique eso malito el juegito este.
A 3 personas les pareció útil esta reseña,0,No recomendado,192.5 h registradas,Publicada el 1 de marzo,"La jugabilidad era muy buena, lamentablemente mataron el PVP con LoH y nunca lo arreglaron... Prometieron una season 1 y nunca llegó, los que compramos productos una estafa total con el cierre del juego.. nos quedamos esperando las actualizaciones prometidas.
Un asco los desarrolladores."
A 4 personas les pareció útil esta reseña,0,No recomendado,297.3 h registradas,Publicada el 6 de septiembre de 2024,"(6/9/2024)
Decidieron perder todos sus jugadores de Sudamérica forzándolos a jugar con 250ms, el principio del fin.
RIP Dungeonborne =("
A 3 personas les pareció útil esta reseña,0,No recomendado,13.1 h registradas,Publicada el 9 de noviembre de 2024,"El juego era bueno en sus inicios, pero se les ocurrió la magnifica idea de complicar el farmeo, complicar la búsqueda de partidas por rareza de equipo y agregar mas elementos p2w."
A 4 personas les pareció útil esta reseña,0,No recomendado,142.8 h registradas,Publicada el 11 de septiembre de 2024,"NO HAY SERVIDORES EN AMERICA LATINA, SE JUEGA CON 250MS. Como todo Early Access, hacen plata y dejan morir el juego. RIP dungeon caca"
A 3 personas les pareció útil esta reseña,0,No recomendado,271.4 h registradas,Publicada el 6 de septiembre de 2024,"no lo jueguen mas, lo de eliminar los servers en sa y hacer un solo server para toda america es para demanda, estos devs se creen que solo en su pueblo juegan al juego, lo siento por la gente que gasto dinero en esto, porque tiene toda la pinta que de a poco van a ir cerrando el juego y eso que apenas esta en acceso anticipado."
A 2 personas les pareció útil esta reseña,0,No recomendado,22.6 h registradas,Publicada el 1 de octubre de 2024,Look how they massacred my boy
A 4 personas les pareció útil esta reseña,0,No recomendado,111.7 h registradas,Publicada el 6 de septiembre de 2024,Horrible parche cerrando los servidores de SA mataron al juego para un continente entero.
A 3 personas les pareció útil esta reseña,2 personas encontraron divertida esta reseña,Recomendado,14.7 h registradas,Publicada el 18 de julio de 2024,Sobame bien sobado el perno Dark and Darker
A 3 personas les pareció útil esta reseña,0,No recomendado,66.9 h registradas,Publicada el 24 de octubre de 2024,Esta bueno pero está muerto
A 1 persona le pareció útil esta reseña,0,No recomendado,105.7 h registradas,Publicada el 19 de septiembre de 2024,Se ♥♥♥♥♥♥♥ en SA cerrando el server cuando tenian un monton de players aca...
A 3 personas les pareció útil esta reseña,0,Recomendado,9.7 h registradas,Publicada el 20 de agosto de 2024,"NERFEEN A LOS DRUIDAS NI LOS VEGANOS SON TAN MOLESTOS
el arbol esta mas duro que infacia en siria
y la pantera salta mas que tu vieja en mi pija"
A 2 personas les pareció útil esta reseña,0,Recomendado,10.6 h registradas,Publicada el 31 de julio de 2024,"Es como Dark and Darker, pero mas casual/arcade y completamente gratis.
Tiene algunos problemas de balanceo entre las clases, pero si no vas a tryhardearlo a full puedes usar la que te guste. Entretenido y un buen balance sin ser super difícil ni muy simple.
No esta mal, pero se me torno algo repetitivo y un poco tryhard de mas (particularmente al estar desbalanceado)."
A 2 personas les pareció útil esta reseña,0,No recomendado,59.1 h registradas,Publicada el 8 de octubre de 2024,"PESIMO, INJUGABLE, No Recomendado, los devs no saben balancear el juego, si no juegas la clase de la season no puedes hacer nada, el cambio al matchmaking empeoro las cosas."
A 2 personas les pareció útil esta reseña,1 persona encontró divertida esta reseña,Recomendado,112.9 h registradas,Publicada el 21 de julio de 2024,"J U E G A Z O -- Comparándolo con Dark and darker en este SI me divertí, SI progresé, SI mate, SI me ♥♥♥♥ tenso, SI tenia ganas de seguir jugando.
es un SI de manual. JUEGALO"
A 1 persona le pareció útil esta reseña,0,No recomendado,0.9 h registradas,Publicada el 25 de diciembre de 2024,"Se re murio este juego, estuve media hora buscando partida y no encontro, 200 de ping, ademas aparentemente habia un server para america del sur y lo sacaron. Se ♥♥♥♥♥♥♥♥, me voy a Dark And Darker."
A 3 personas les pareció útil esta reseña,1,No recomendado,76.8 h registradas,Publicada el 6 de septiembre de 2024,"RIP SERVER SA 06/09/2024
An award for the worst decision of the year goes to..."
A 3 personas les pareció útil esta reseña,0,No recomendado,93.1 h registradas,Publicada el 6 de septiembre de 2024,"TIRARON LOS SERVIDORES EN LATINOAMERICA ""To ensure a better matchmaking experience"" vayanse a la concha de su madre"
A 1 persona le pareció útil esta reseña,0,Recomendado,7.5 h registradas,Publicada el 23 de agosto de 2024,wena la wea
A 1 persona le pareció útil esta reseña,0,Recomendado,1.8 h registradas,Publicada el 15 de agosto de 2024,Si
A 1 persona le pareció útil esta reseña,0,Recomendado,40.8 h registradas,Publicada el 6 de agosto de 2024,ta buenardo pero solo con amigos xD
A 1 persona le pareció útil esta reseña,0,Recomendado,190.7 h registradas,Publicada el 1 de agosto de 2024,magnánimo
A 1 persona le pareció útil esta reseña,1 persona encontró divertida esta reseña,Recomendado,159.3 h registradas,Publicada el 23 de julio de 2024,es goat y punto quien no este de acuerdo nos agarramos a ♥♥♥♥♥♥♥ en la mazmorra
A 1 persona le pareció útil esta reseña,1,Recomendado,14.5 h registradas,Publicada el 19 de julio de 2024,muy buen juego   fenomenal 10/10  interesante y divertido
A 4 personas les pareció útil esta reseña,0,No recomendado,153.5 h registradas,Publicada el 6 de septiembre de 2024,"Para el tipo de juego que es, tenía una jugabilidad bastante dinámica que lo hacía agradable de jugar. Lamentablemente las actualizaciones recientes dan a entender que los desarrolladores están enfocados en intentar salvar el descalabro financiero que tienen, en vez de efectivamente mejorar el juego y hacer que perdure. Esto dan a entender, ya que acaban de extirpar a toda la comunidad latinoamericana."
A 1 persona le pareció útil esta reseña,0,Recomendado,25.7 h registradas,Publicada el 2 de agosto de 2024,"Eh jugado 15 horas al juego en estos últimos pocos días y me parece un juego muy divertido, el juego es crudo con su dificultad lo cual esta muy bueno pero hay ciertas cosas que no tienen sentido como que los reapers te vean detrás de 2 paredes sin haberlo golpeado ni nada, los druidas con su velocidad de movimiento, lo que dura la habilidad de convertir en piedra al enemigo y los micro lagasos constantes, pero si recomiendo jugarlo, no tienen sistema de emparejamiento por nivel ni nada, como tiene que ser el que va mas preparado sera el que salga con mas loot y ganancias.
me gusto mucho el juego lo seguiré jugando hasta que saquen la traducción al español xd
>La suerte siempre le  sonríe a los valientes<
(Banda ya me petrificaron otra ve......)"
A 3 personas les pareció útil esta reseña,1,Recomendado,9.3 h registradas,Publicada el 19 de julio de 2024,"Juegazo, le pega mil vueltas al Dark And Darker."
A 1 persona le pareció útil esta reseña,1 persona encontró divertida esta reseña,Recomendado,54.4 h registradas,Publicada el 27 de febrero,Concord >>>>>>>>>>>>>>>>>>>>>>>>>> este juego peruano.
A 1 persona le pareció útil esta reseña,0,No recomendado,3.6 h registradas,Publicada el 26 de noviembre de 2024,"Bastante caca, trollearon una banda los devs, parece que querian sacar platita y a dormir"
A 3 personas les pareció útil esta reseña,0,No recomendado,197.9 h registradas,Publicada el 13 de agosto de 2024,life on hit kill the game bye.
A 2 personas les pareció útil esta reseña,0,No recomendado,468.4 h registradas,Publicada el 2 de agosto de 2024,absolutamente desbalanceado
A 5 personas les pareció útil esta reseña,0,No recomendado,6.1 h registradas,Publicada el 15 de agosto de 2024,"Le das una oportunidad y le metes ganas, con al pasar de las horas te das cuenta que no vas ni para atras ni para adelante, ves que hay drops en twitch, pero te piden no solo que mires al salame que juega, sino que ademas ""compres"" una subscripcion al canal del chabon, todo para ♥♥♥♥♥♥♥♥♥♥ una skin de un item que solo vos vas a ver (como la pocion de HP) WTF?
No es para mi."
A 1 persona le pareció útil esta reseña,0,No recomendado,26.4 h registradas,Publicada el 8 de septiembre de 2024,"Sacaron los servers de SA y automaticamente murio el juego, ya venia con quejas de lo OP que estaban algunas clases y con esto lo temino de matar para mi, si no solucionan el problema de los servidores y balancean el juego no lo veo como un competidor para el DnD."
A 3 personas les pareció útil esta reseña,1,No recomendado,33.2 h registradas,Publicada el 6 de agosto de 2024,"Juego completamente desbalanceado, en donde la habilidad del jugador queda en segundo plano, siempre ganando quien tiene mejor gear e items. No puede ser que yo entrando en casual que se supone balanceado con 20 de gear, me encuentre con gente con 34 de gear y todas las pasivas desbloquedas y lo único que tienen que hacer es apretar botón izquierdo para pasarte por encima, juego mono-neuronal, paso de estar farmeando 100 horas para tener una build decente y sufrir esas 100 horas de lobbys horribles para recién estas más nivelado.  El juego es bueno, tiene una buena idea, pero como no van a balancear, es como un error fatal."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,140.1 h registradas,Publicada el 23 de julio de 2024,"Simplemente no vale la pena , metete a lobies de alto equipo solo para sacar morados por que todos usan dados de mrda y es totalmente inutil hacer pvp . Buena suerte matando a alguien con equipamento legendario solo para darte cuenta que su equipo esta protegido por los dados de 2.300 de oro XD Balance de ♥♥♥♥♥♥."
A 2 personas les pareció útil esta reseña,0,Recomendado,13.6 h registradas,Publicada el 29 de septiembre de 2024,"Jugue muy poco pero la verdad es que me encantan estos tipos de juegos donde puedes seleccionar clases y demas. al principio tuve dudas por los comentarios pero decidi probarlo y valio la pena, lo recomiendo bastante."
A 2 personas les pareció útil esta reseña,0,No recomendado,238.6 h registradas,Publicada el 7 de septiembre de 2024,200ms.... te voy a ♥♥♥♥ en la boca Hellhamer
A 2 personas les pareció útil esta reseña,1,Recomendado,570.9 h registradas,Publicada el 13 de septiembre de 2024,"Quiero confiar que mejorará, me gusta jugarlo y ya."
A 2 personas les pareció útil esta reseña,0,Recomendado,0.3 h registradas,Publicada el 3 de agosto de 2024,"Vengo de jugar 60hs al Dark and Darker, y no es comparación se nota las carencias, no digo que este juego este ""malo"" pero por mis preferencias me quedo con el Dark and Darker, ya sea por tema de dibujo, personajes, sistema de pelea, etc... siento que sigue muy verde y le faltan cosas por agregar, igualmente banco a los Free to play y se agradece que le hagan competencia directa a DaD,  ojala le vaya bien a este juego 6/10"
A 1 persona le pareció útil esta reseña,0,No recomendado,47.1 h registradas,Publicada el 10 de septiembre de 2024,"ARRUINARON el juego! Totalmente. Toda la gente de Sudamérica q jugábamos con 50ms de ping, ahora fusionaron el server de LAS, con el de norteamérica, y automáticamente pasamos a jugar con 210ms de ping, lo cual es totalmente INJUGABLE! Esperaré próximos parches, pero se encamina a ser UN JUEGO MUERTO MÁS, y a una desinstalación masiva en sudamérica...
VER VIDEO..."
A 1 persona le pareció útil esta reseña,0,No recomendado,39.1 h registradas,Publicada el 10 de septiembre de 2024,"Era una alternativa mas accesible y ""Agil"" a Dark and Darker. Pero cerraron los servidores en Latinoamerica, vine a este juego por fluidez y ahora me obligan a jugar con 250 de ping, una estupidez."
A 2 personas les pareció útil esta reseña,0,No recomendado,582.7 h registradas,Publicada el 6 de septiembre de 2024,"Retiraron servidores de latam  y demostraron cuanto les importa su $$$gente
mas de 500 horas y gustoso de decirles, no lo juegen, no pierdan su tiempo."
A 1 persona le pareció útil esta reseña,0,No recomendado,25.3 h registradas,Publicada el 9 de septiembre de 2024,"Estaba bueno, tenia toda la onda, hasta que dijeron ""nO QuIEro paGAr seRvIDoR eN laTaM"", no recomendado, no te das cuenta y te mató una flecha fantasma, grotescamente arruinado."
A 1 persona le pareció útil esta reseña,0,No recomendado,111.8 h registradas,Publicada el 8 de octubre de 2024,"Que lastima que siendo un juego con el potencial que tenia ya no es lo que era, cerraron los servidores , no los regresan, los devs en lugar de arreglar sus errores y los que ya existian dentro del juego hacen una pre season muy mal hecha, desequilibrada, los servidores de hard son puros rogues que te deletean y si no lo hacen corren medio mapa hasta que puedan desaparecer de nuevo y JAMAS los vas a alcanzar, es un asco de desbalanceo de clases, poca atencion de los desarrolladores, tenian la oportunidad de salvarlo y parece que no les importo."
A 1 persona le pareció útil esta reseña,0,No recomendado,99.6 h registradas,Publicada el 14 de septiembre de 2024,"El juego era buenisimo, dejaron que la gente venda items por plata y se aproveche de bugs como locos. Quitaron los servers para America del Sur. Se ♥♥♥♥♥♥♥ en la gente!"
A 3 personas les pareció útil esta reseña,1 persona encontró divertida esta reseña,Recomendado,4.0 h registradas,Publicada el 31 de agosto de 2024,"Buen juego, posee una dificultad moderada, renovando de forma gratuita el ""extraction mode"" que tiene el tarkov o el hunt. Divertido de momento."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,38.0 h registradas,Publicada el 5 de octubre de 2024,"borraron los servers de latam, apoyaba a muerte a este juego hasta que hicieron eso, la verdad una nefasta idea"
A 1 persona le pareció útil esta reseña,0,Recomendado,66.9 h registradas,Publicada el 19 de julio de 2024,dark and darker > Frustrating Adiction.  DungeonBorne > Fun
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,34.0 h registradas,Publicada el 18 de julio de 2024,Si
A 1 persona le pareció útil esta reseña,0,Recomendado,12.8 h registradas,Publicada el 12 de septiembre de 2024,muy weno perdi todos mis items y lo desintale
A 1 persona le pareció útil esta reseña,1 persona encontró divertida esta reseña,Recomendado,32.7 h registradas,Publicada el 22 de julio de 2024,"pinche juego esta bien culero. hay mejores cosas que jugar alv.
⡴⠑⡄⠀⠀⠀⠀⠀⠀⠀ ⣀⣀⣤⣤⣤⣀⡀
⠸⡇⠀⠿⡀⠀⠀⠀⣀⡴⢿⣿⣿⣿⣿⣿⣿⣿⣷⣦⡀
⠀⠀⠀⠀⠑⢄⣠⠾⠁⣀⣄⡈⠙⣿⣿⣿⣿⣿⣿⣿⣿⣆ ta bueno
⠀⠀⠀⠀⢀⡀⠁⠀⠀⠈⠙⠛⠂⠈⣿⣿⣿⣿⣿⠿⡿⢿⣆
⠀⠀⠀⢀⡾⣁⣀⠀⠴⠂⠙⣗⡀⠀⢻⣿⣿⠭⢤⣴⣦⣤⣹⠀⠀⠀⢀⢴⣶⣆
⠀⠀⢀⣾⣿⣿⣿⣷⣮⣽⣾⣿⣥⣴⣿⣿⡿⢂⠔⢚⡿⢿⣿⣦⣴⣾⠸⣼⡿
⠀⢀⡞⠁⠙⠻⠿⠟⠉⠀⠛⢹⣿⣿⣿⣿⣿⣌⢤⣼⣿⣾⣿⡟⠉
⠀⣾⣷⣶⠇⠀⠀⣤⣄⣀⡀⠈⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇
⠀⠉⠈⠉⠀⠀⢦⡈⢻⣿⣿⣿⣶⣶⣶⣶⣤⣽⡹⣿⣿⣿⣿⡇
⠀⠀⠀⠀⠀⠀⠀⠉⠲⣽⡻⢿⣿⣿⣿⣿⣿⣿⣷⣜⣿⣿⣿⡇
⠀⠀ ⠀⠀⠀⠀⠀⢸⣿⣿⣷⣶⣮⣭⣽⣿⣿⣿⣿⣿⣿⣿⠇
⠀⠀⠀⠀⠀⠀⣀⣀⣈⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇
⠀⠀⠀⠀⠀⠀⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿"
A 1 persona le pareció útil esta reseña,1 persona encontró divertida esta reseña,Recomendado,74.6 h registradas,Publicada el 9 de agosto de 2024,"Juegardo amigo, si tenés dos dedos de frente podés ganar. Los que publican reseñas negativas son terribles trolitas que no saben jugar."
A 1 persona le pareció útil esta reseña,0,Recomendado,17.3 h registradas,Publicada el 29 de septiembre de 2024,esta muy bueno o unico malo es que le esta faltando el idioma español.
A 1 persona le pareció útil esta reseña,0,Recomendado,317.4 h registradas,Publicada el 19 de julio de 2024,"Jugue mucho Dark and Darker y aunque me parecio un buen juego con problemas de balance, no lo recomende por que el precio para poder disfrutar del todo el juego me parecia exesivo para el contenido que ofrece, y la version free to play no me parecio algo disfrutable.
Dungeonborne esta ""inspirado"" en Dark and Darker, incluso usa algunos assets que son exactamente los mismos, pero eso es por que DaD no creo muchos assets si no que los compro, de la misma forma que hizo DB asi que ambos juegos usan assets similares.
DaD me parecio un buen juego, aunque con sus problemas. Dungeonborne me parece que es mas de lo mismo, pero incluso manejan algunas mecanicas mucho mejor y se centra mas en divertirse que en ser tryhard. Lo disfrute mucho en la beta, y ahora en el earlie access.
En resumen: Dungeonborne es un poco mejor que Dark and Darker, especialmente en el diseño de los mapas, graficos y jugabilidad. Y es totalmente gratis. Si hubiera costado 30 dolares, tampoco lo hubiera recomendado, pero es gratis, y aparentemente sin resitricciones ni trucos oscuros ni pay to win. Asi que lo recomiendo 100%. Denle gas."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,31.2 h registradas,Publicada el 2 de diciembre de 2024,"Dungeonborne es un título que mezcla elementos de juegos de mazmorras clásicos con mecánicas de PvP y PvE, en un formato que apuesta por el modelo free-to-play. Presentado como un juego en primera persona, ofrece a los jugadores la oportunidad de explorar mazmorras desafiantes mientras enfrentan criaturas y a otros jugadores en combates tácticos. Sin embargo, su lanzamiento en acceso anticipado ha suscitado críticas mixtas, debido a problemas de estabilidad y manejo por parte de los desarrolladores.
Aspectos Positivos
Diseño Visual y Sonoro: Las mazmorras destacan por sus diseños interesantes, con dimensiones verticales y enemigos variados. Los efectos visuales y el diseño de audio añaden inmersión al juego​.
Concepto Prometedor: Combina exploración y combate competitivo en un entorno de mazmorras, un concepto que atrajo a una comunidad activa durante su debut​.
Críticas Recibidas
Problemas de Matchmaking: Los tiempos de espera en cola para emparejamientos pueden ser excesivamente largos, afectando la experiencia de juego​.
Falta de Actualizaciones: Los jugadores han señalado la falta de contenido nuevo y actualizaciones, lo que ha llevado a que el juego sea percibido como abandonado por sus desarrolladores​.
Problemas Técnicos: Los servidores y el rendimiento general del juego han recibido quejas constantes desde su lanzamiento.
Estado Actual
El juego ha pasado de tener una comunidad activa a un descenso drástico en jugadores, lo que lo coloca en una situación complicada. Aunque el concepto de Dungeonborne tiene potencial, la falta de soporte continuo y problemas técnicos han impactado negativamente su reputación. Es una opción a considerar si estás interesado en un título experimental, pero es recomendable investigar más antes de invertir tiempo o dinero."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,33.5 h registradas,Publicada el 21 de septiembre de 2024,"MALDITOS MISERABLES CERRARON LOS SERVER EN SA, LO JUGUÉ DÍA UNO TENÍAN POTENCIAL, AÑORABA QUE MEJORARAN Y AHORA NOS ECHAN DEL JUEGO"
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,33.9 h registradas,Publicada el 9 de septiembre de 2024,Pongan un server en mi casa que sino anda re lagueado
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,144.4 h registradas,Publicada el 6 de septiembre de 2024,goty
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,29.2 h registradas,Publicada el 4 de agosto de 2024,esta rico
A 1 persona le pareció útil esta reseña,0,No recomendado,5.0 h registradas,Publicada el 2 de septiembre de 2024,que pinga de juego y aparte no esta en español
A 1 persona le pareció útil esta reseña,1 persona encontró divertida esta reseña,No recomendado,14.4 h registradas,Publicada el 21 de julio de 2024,ping de 80 a 100 con server en brasil supuestamente
A 3 personas les pareció útil esta reseña,2 personas encontraron divertida esta reseña,No recomendado,3.0 h registradas,Publicada el 24 de julio de 2024,"malo, no está en español, es tosco, repetitivo... mecánicas básicas todo oscuro... pésimo juego"
